question,option1,option2,option3,option4,answer,imageName,underline
去年より利益がわずかに増えた。,りし,りぞく,りえき,りじゅん,りえき,,利益
橋本選手の活躍で、なんとかピンチを逃れた。,のがれた,はなれた,それた,まぬがれた,のがれた,,逃れた
物置の隅で、ほこり（ ）になっている古い人形を見つけた。,ぐるみ,がらみ,まみれ,ずくめ,まみれ,,
木村さんとは共通の趣味があるので、いつも会話が（ ）。,舞う,弾む,転がる,跳ねる,弾む,,
この映画は画期的な手法で製作された。,広く知られている,最近ではめずらしい,非常に時間がかかる,今までになく新しい,今までになく新しい,,画期的
あの企業は海外市場への進出をもくろんでいる。,計画して,果たして,開始して,あきらめて,計画して,,もくろんで
"次の言葉の使い方として最もよいものを選びなさい。
連携",学校は地域と連携して生徒の安全を守っている。,複数の社員で一台のプリンターを連携して使っている。,最近の株価は、為替レートと連携して上下している。,登山のときには、必ず地図を連携してください。,学校は地域と連携して生徒の安全を守っている。,,連携
"次の言葉の使い方として最もよいものを選びなさい。
不服",彼の失礼な態度は、そこにいた人々の不服を買った。,カラオケで思い切り歌って、日ごろの不服を晴らそう。,審判の判定に不服を唱えることはできない。,この部署で、お客様からの不服を受け付けています。,審判の判定に不服を唱えることはできない。,,不服
人気作家A氏の講演会が無料（ ）、多くのファンが詰めかけた。,にして,にあって,として,とあって,とあって,,
都会から田舎に移り住んだ人の話を聞く（ ）、『田舎は人を癒す力を持っている』とつくづく感じる。,につけ,なり,とは,にしてみると,にしてみると,,
"大学入試では、試験当日初めてその大学に行き、迷ってしまった ＿＿ ＿＿ ★ ＿＿,事前に見学しておくとよい。",ない,という,ように,ことの,ない,,★
趣味を持つのは良いことだと思いますが、家庭を犠牲 ＿＿ ＿＿ ★ ＿＿ 、それはちょっと問題です。,となる,まで,と,にして,まで,,★
筆者の考えに合うのはどれか。,食事のたびに食器を眺めることで、陶芸品への愛着が強まる。,日常使う食器に注意を向けることで、陶芸品への関心が高まる。,食器を通して陶芸品に興味を持つことで、芸術全般への関心が高まる。,子どもたちに、ベテランの子どもとしての行いを示そう。,日常使う食器に注意を向けることで、陶芸品への関心が高まる。,JlptN1ReadingImgae8,
筆者は、弱者をどのようにとらえているか。,弱者は正直であることで自らの尊厳を守ろうとする。,弱者は理性を持って自らの過ちをわびようとする。,弱者は正論に頼って劣勢を解消しようとする。,弱者は謝罪することで自らを守ろうとする。,弱者は謝罪することで自らを守ろうとする。,JlptN1ReadingImgae8,
